#FREQS[MHz]=125.0,135.0,145.0,155.0,165.0
0003-428	15.0,13.47,13.04,12.92,10.43	1.988,1.239,1.551,1.683,0.999
0007-446	23.54,21.21,20.27,18.77,17.64	2.509,2.215,1.522,1.254,1.99
0008-421	-0.94,-0.68,0.54,0.52,1.98	2.283,2.136,2.178,2.169,2.25
0039-445	32.0,30.33,28.58,26.04,24.09	2.387,2.546,1.596,1.701,1.199
0043-424	51.97,47.5,45.89,42.8,40.74	3.161,2.513,1.559,2.065,1.523
0048-447	17.89,16.04,15.17,14.53,12.53	2.4,2.191,2.429,1.29,1.633
0049-433	23.56,21.03,21.97,20.23,18.88	2.503,1.279,1.917,1.398,1.901
0103-453	35.55,32.66,30.9,28.25,27.24	4.081,2.79,1.534,1.874,1.017
0201-440	16.24,15.04,13.75,12.8,14.09	4.148,2.206,1.689,1.822,1.867
0438-436	8.45,6.27,8.06,5.75,9.01	3.983,2.545,2.45,2.27,2.614
0511-484	30.1,23.29,30.68,29.38,23.11	3.035,2.131,2.929,3.553,3.27
0518-458B	425.18,376.74,351.58,325.24,305.49	17.784,19.369,10.669,9.027,3.934
0534-497	20.85,17.29,17.64,19.96,14.68	4.172,3.536,4.357,3.574,3.053
0546-445	12.09,16.88,11.98,11.24,8.88	3.925,3.371,3.923,2.951,2.324
0547-408	21.83,13.49,19.52,12.6,14.94	5.693,3.294,4.278,2.45,3.489
0647-475	2.61,1.46,3.36,2.72,4.45	4.696,2.781,2.827,2.017,3.184
0700-473	15.53,11.59,12.36,9.24,11.17	3.119,3.641,3.519,3.377,4.349
0704-427	12.78,13.43,12.73,11.64,7.99	3.282,3.667,2.41,3.35,2.343
0748-440	19.35,17.87,15.96,15.24,13.42	5.014,4.77,5.011,3.823,3.528
0748-454	9.35,4.59,7.52,7.58,7.24	5.431,3.278,3.309,3.438,4.046
0809-492	13.14,11.78,11.63,12.36,14.04	6.672,5.155,4.48,4.461,3.693
0819-474	7.42,9.87,8.68,6.67,9.7	4.631,5.067,4.445,3.401,4.476
1017-421	5.13,8.04,4.46,4.5,4.96	8.531,9.389,15.737,11.278,8.219
1017-426	20.01,17.32,15.25,15.96,13.87	9.56,10.214,13.932,12.87,11.032
1046-409	11.42,8.37,10.86,3.8,11.79	16.831,16.064,17.598,20.038,15.901
1116-462	10.06,23.65,27.46,5.98,18.84	14.292,31.508,30.865,23.353,31.053
1143-483	37.71,26.9,19.77,37.43,19.64	20.286,25.632,20.027,30.464,19.406
1215-457	19.14,29.05,41.2,13.88,30.21	26.903,16.115,20.138,12.555,21.679
1221-423	15.78,28.78,21.58,33.73,28.7	21.69,25.644,38.246,16.245,26.367
1232-416	9.68,19.76,10.37,17.01,22.29	12.663,21.426,20.38,21.05,19.894
1243-412	37.72,-13.7,85.2,51.2,15.07	43.104,23.769,45.786,48.46,21.057
1246-410	3.78,40.61,58.87,35.36,80.64	21.182,26.016,27.288,22.788,21.514
1247-401	23.96,24.44,-28.57,17.63,64.89	16.247,23.672,21.336,29.293,23.62
1302-491	21.43,32.29,34.94,34.54,48.51	13.953,16.258,13.698,18.315,20.195
1315-460	-4.7,-18.59,-28.05,-16.99,-6.54	8.27,7.894,9.439,8.241,3.427
1320-446	88.02,81.74,71.82,68.61,56.51	6.926,5.826,10.141,4.834,6.838
1355-416	33.19,47.15,54.71,54.98,41.55	8.52,11.939,10.929,18.71,18.416
1358-493	12.1,25.12,12.16,24.07,15.05	17.349,10.652,11.797,16.787,13.14
1407-425	10.4,42.84,14.17,19.17,23.76	12.207,15.458,10.097,4.75,10.871
1416-493	25.69,19.49,23.38,19.91,27.52	6.772,12.933,16.2,5.818,11.94
1421-490	22.29,14.68,26.32,16.29,23.09	7.82,8.551,13.416,6.784,11.856
1424-418	10.0,22.04,10.01,19.93,18.05	4.954,10.663,11.282,7.943,10.299
1445-468	16.81,20.43,19.86,15.36,18.36	9.702,9.542,12.012,7.451,6.425
1459-417	34.96,27.52,24.47,22.87,21.69	10.352,9.511,11.049,8.544,12.496
1526-423	61.86,58.32,59.96,55.85,57.36	5.957,9.801,9.759,9.156,5.806
1552-433	12.57,6.63,10.46,12.59,8.04	5.798,9.57,6.215,10.555,7.427
1556-466	21.4,18.81,21.64,23.45,21.77	8.185,5.072,11.138,8.326,6.918
1616-457	8.21,11.86,10.42,14.23,12.79	6.514,6.257,5.572,6.003,5.752
1618-430	21.61,19.97,21.05,19.51,17.55	4.848,9.482,5.601,6.399,6.117
1633-409	4.9,7.68,13.47,10.93,14.65	9.478,6.014,10.157,9.685,6.96
1839-487	20.2,19.72,19.29,19.82,18.81	3.803,5.447,4.546,5.734,5.215
1840-404	18.24,20.07,17.33,19.92,22.91	6.07,3.6,3.837,2.921,3.61
1932-464	86.7,84.62,84.03,85.53,87.64	5.385,7.526,5.316,4.458,5.457
1940-406	17.4,14.67,14.78,15.13,14.58	3.829,5.427,4.221,7.149,7.306
