#FREQS[MHz]=125.0,135.0,145.0,155.0,165.0
0003-428	14.14,12.78,12.51,12.23,10.08	1.457,1.189,1.049,0.891,0.887
0007-446	22.61,20.54,19.71,18.14,16.77	1.841,1.899,1.387,1.156,1.331
0008-421	-0.18,-0.3,0.87,0.72,1.28	0.834,1.004,0.888,0.894,0.939
0039-445	28.51,26.91,25.74,23.42,21.65	2.607,1.739,1.756,1.192,1.169
0043-424	47.42,44.06,42.82,39.77,37.44	3.464,2.807,1.632,1.618,1.842
0048-447	15.74,14.27,13.32,12.96,11.05	1.439,1.093,1.423,1.111,0.991
0049-433	20.35,18.55,20.28,18.48,17.0	2.176,1.939,1.872,1.2,0.922
0103-453	30.54,28.23,26.41,24.78,23.72	2.572,2.262,2.544,1.401,1.606
0201-440	13.29,12.29,11.37,10.7,11.72	1.972,1.274,0.852,0.792,1.056
0438-436	9.24,5.82,6.47,5.63,10.22	1.226,0.624,0.455,0.611,0.865
0546-445	13.11,17.32,11.28,9.98,9.35	1.155,1.565,1.025,0.795,0.897
0547-408	19.27,16.36,21.68,16.24,15.47	1.23,1.131,1.356,0.899,0.874
0704-427	13.76,14.56,13.78,12.68,9.8	0.633,1.014,0.867,0.796,0.843
1017-421	9.83,17.42,9.13,8.42,9.03	4.381,7.033,9.382,10.072,8.749
1017-426	35.33,31.84,27.94,31.4,27.26	8.218,9.894,11.994,13.532,10.951
1046-409	14.68,10.56,13.57,9.41,11.74	4.586,6.131,8.432,7.263,7.374
1215-457	10.36,14.32,20.21,4.99,15.53	3.44,3.046,3.947,1.414,3.235
1221-423	8.54,15.82,9.91,16.48,7.48	3.235,2.962,2.716,2.864,2.801
1424-418	12.86,16.87,9.14,16.42,11.65	0.547,0.619,0.48,0.268,0.664
1459-417	33.04,29.28,25.01,24.07,21.22	0.359,0.38,0.508,0.277,0.678
1526-423	57.27,54.19,55.73,53.52,58.6	0.262,0.577,0.491,0.36,0.362
1840-404	17.24,22.29,15.63,21.74,20.37	0.549,0.947,0.519,0.434,0.727
1932-464	99.59,94.22,92.75,93.32,94.16	2.251,1.997,1.576,1.566,2.33
1940-406	20.32,16.39,16.19,18.11,16.21	0.939,0.702,0.719,0.891,0.85
1953-425	21.32,20.07,20.59,20.89,21.71	1.365,1.04,0.888,0.955,0.84
2140-434	26.51,23.32,22.92,22.27,21.5	1.936,1.398,1.036,1.101,1.39
2213-456	5.02,6.55,6.35,5.42,6.75	0.942,0.98,0.825,0.955,1.056
2226-411	15.35,14.37,13.2,13.8,12.85	1.723,1.213,1.139,1.187,0.73
2250-412	37.04,35.3,33.89,30.98,30.15	2.431,2.183,1.764,1.549,1.744
2323-407	19.44,17.3,15.98,15.23,15.5	1.741,1.689,1.137,0.752,0.978
2331-416	39.27,36.77,34.67,33.14,31.55	3.01,2.413,1.557,1.478,1.987
pic	443.78,399.23,379.39,354.34,341.74	6.527,9.627,6.597,5.627,3.88
