#FREQS[MHz]=125.0,135.0,145.0,155.0,165.0
0003-428	14.51,13.11,12.83,12.55,10.34	1.674,1.385,1.241,1.079,1.042
0007-446	23.2,21.07,20.22,18.61,17.2	2.188,2.214,1.689,1.434,1.588
0008-421	-0.18,-0.31,0.89,0.74,1.31	0.831,0.999,0.901,0.905,0.959
0039-445	29.25,27.61,26.41,24.03,22.21	3.044,2.152,2.151,1.551,1.501
0043-424	48.65,45.2,43.93,40.8,38.41	4.192,3.483,2.289,2.228,2.417
0048-447	16.15,14.64,13.66,13.3,11.34	1.681,1.312,1.627,1.31,1.161
0049-433	20.88,19.03,20.81,18.96,17.44	2.488,2.224,2.183,1.484,1.183
0103-453	31.33,28.96,27.09,25.42,24.33	3.041,2.695,2.949,1.781,1.97
0201-440	13.63,12.61,11.66,10.98,12.02	2.176,1.463,1.026,0.956,1.236
0438-436	9.48,5.97,6.64,5.78,10.48	1.368,0.713,0.554,0.697,1.022
0546-445	13.45,17.77,11.57,10.24,9.59	1.356,1.831,1.198,0.948,1.04
0547-408	19.77,16.78,22.24,16.66,15.87	1.526,1.382,1.689,1.148,1.111
0704-427	14.12,14.94,14.14,13.01,10.05	0.844,1.237,1.078,0.991,0.993
1017-421	10.08,17.87,9.37,8.64,9.26	4.532,7.3,9.522,10.201,8.888
1017-426	36.24,32.66,28.66,32.21,27.97	8.76,10.383,12.423,14.014,11.369
1046-409	15.06,10.83,13.92,9.65,12.04	4.811,6.293,8.64,7.407,7.554
1215-457	10.63,14.69,20.73,5.12,15.93	3.599,3.266,4.257,1.491,3.473
1221-423	8.76,16.23,10.17,16.91,7.67	3.366,3.205,2.868,3.117,2.916
1424-418	13.19,17.31,9.38,16.85,11.95	0.744,0.878,0.62,0.52,0.843
1459-417	33.9,30.04,25.66,24.69,21.77	0.866,0.829,0.892,0.646,1.004
1526-423	58.75,55.59,57.17,54.91,60.12	1.141,1.409,1.346,1.181,1.261
1840-404	17.69,22.87,16.03,22.3,20.9	0.814,1.289,0.759,0.768,1.04
1932-464	102.17,96.66,95.15,95.74,96.6	3.779,3.443,2.999,2.998,3.775
1940-406	20.85,16.81,16.61,18.58,16.63	1.251,0.954,0.967,1.169,1.099
1953-425	21.87,20.59,21.12,21.43,22.27	1.692,1.348,1.204,1.276,1.173
2140-434	27.2,23.92,23.51,22.85,22.06	2.343,1.756,1.388,1.443,1.72
2213-456	5.15,6.72,6.51,5.56,6.92	1.019,1.081,0.922,1.038,1.16
2226-411	15.75,14.74,13.54,14.16,13.18	1.959,1.434,1.342,1.399,0.927
2250-412	38.0,36.21,34.77,31.78,30.93	2.999,2.725,2.284,2.024,2.207
2323-407	19.94,17.75,16.39,15.62,15.9	2.039,1.954,1.382,0.986,1.216
2331-416	40.29,37.72,35.57,34.0,32.37	3.613,2.977,2.089,1.987,2.471
pic	455.27,409.57,389.21,363.52,350.59	13.337,15.753,12.419,11.064,9.124
