0003-428,1.68,-42.5,12.2,0.61,-0.86,0.11,12.4,2.75,-0.86,0.19,0.636
0007-446,2.8,-44.3,19.2,0.82,-1.02,0.11,18.1,4.0,-0.98,0.19,0.704
0039-445,10.7,-44.16,24.8,0.91,-0.86,0.12,22.6,4.96,-0.78,0.19,0.801
0043-424,11.73,-42.05,41.7,1.27,-0.77,0.1,36.1,4.93,-0.69,0.12,0.34
0048-447,12.87,-44.4,13.2,0.64,-0.99,0.12,13.4,2.81,-0.99,0.19,0.657
0049-433,13.22,-43.03,19.0,0.84,-0.91,0.11,21.2,4.58,-1.01,0.2,0.754
0103-453,16.48,-45.02,25.7,1.07,-1.11,0.1,21.8,2.85,-1.04,0.12,0.177
0201-440,31.05,-43.76,11.7,0.66,-0.6,0.12,10.2,6.72,-0.5,0.44,2.805
0438-436,70.17,-43.53,7.5,0.38,-0.14,0.08,8.4,1.13,-0.21,0.1,0.305
0546-445,87.0,-44.52,12.1,0.52,-1.01,0.11,15.0,2.0,-1.1,0.12,0.188
0547-408,87.45,-40.85,17.5,0.6,-0.86,0.09,17.0,2.19,-0.86,0.13,0.344
0704-427,106.58,-42.84,12.5,0.45,-0.99,0.11,11.3,1.45,-0.94,0.13,0.274
1017-421,155.08,-42.49,13.6,1.67,-1.08,0.12,13.8,1.83,-1.09,0.13,-0.001
1017-426,155.16,-42.93,27.8,2.86,-0.8,0.12,26.3,3.38,-0.77,0.12,0.027
1046-409,162.31,-41.31,11.5,1.34,-0.83,0.12,11.3,1.49,-0.82,0.12,0.014
1215-457,184.71,-46.09,13.4,1.21,-0.35,0.11,12.9,1.74,-0.33,0.12,0.051
1221-423,186.12,-42.67,12.0,1.3,-0.81,0.13,8.6,1.9,-0.58,0.18,0.043
1424-418,217.21,-42.17,14.5,0.35,-0.61,0.1,10.9,1.44,-0.6,0.12,0.0
1526-423,232.8,-42.58,56.0,0.58,-0.54,0.08,48.0,6.26,-1.04,0.13,0.0
1840-404,281.36,-40.35,19.4,0.46,-0.73,0.08,18.3,2.39,-0.86,0.1,0.29
1932-464,294.24,-46.31,94.2,1.56,-0.71,0.1,92.7,12.24,-0.87,0.12,0.686
1940-406,296.21,-40.47,16.6,0.53,-1.11,0.1,13.0,1.72,-1.04,0.13,0.05
1953-425,299.55,-42.33,21.1,0.57,-0.68,0.1,19.6,2.58,-0.73,0.12,0.341
2140-434,326.11,-43.15,22.7,0.8,-1.02,0.1,20.0,2.53,-0.98,0.12,0.282
2213-456,334.44,-45.29,6.0,0.44,-0.42,0.13,5.5,1.2,-0.37,0.19,0.294
2226-411,337.53,-40.78,13.7,0.56,-0.61,0.06,12.5,1.62,-0.56,0.09,0.238
2250-412,343.46,-40.89,32.8,1.09,-0.89,0.07,29.2,3.9,-0.84,0.09,0.349
2323-407,351.82,-40.38,16.5,1.11,-0.66,0.1,20.4,13.55,-0.79,0.44,7.843
2331-416,353.79,-41.34,34.6,1.17,-0.78,0.1,32.6,4.15,-0.75,0.12,0.336
Pictor A,80.09,-45.78,381.9,5.36,-0.76,0.01,392.6,21.18,-0.77,0.04,0.942
