#FREQS[MHz]=125.0,135.0,145.0,155.0,165.0
0003-428	15.0,13.47,13.04,12.92,10.43	1.548,0.75,1.398,1.141,0.878
0007-446	23.54,21.21,20.27,18.77,17.64	1.716,1.682,0.815,0.937,1.191
0008-421	-0.94,-0.68,0.54,0.52,1.98	1.75,1.738,1.785,1.377,1.718
0039-445	32.0,30.33,28.58,26.04,24.09	1.876,2.022,1.221,1.102,0.582
0043-424	51.97,47.5,45.89,42.8,40.74	2.525,1.994,1.159,1.587,1.282
0048-447	17.89,16.04,15.17,14.53,12.53	1.987,1.757,1.961,1.037,1.195
0049-433	23.56,21.03,21.97,20.23,18.88	1.675,0.856,1.668,1.243,1.445
0103-453	35.55,32.66,30.9,28.25,27.24	2.087,2.488,1.413,1.544,0.641
0201-440	16.24,15.04,13.75,12.8,14.09	3.871,1.24,1.219,0.817,1.197
0438-436	8.45,6.27,8.06,5.75,9.01	2.222,1.719,1.328,1.879,1.433
0511-484	30.1,23.29,30.68,29.38,23.11	1.845,1.387,2.256,3.124,1.749
0518-458B	425.18,376.74,351.58,325.24,305.49	16.356,18.237,10.26,7.732,3.538
0534-497	20.85,17.29,17.64,19.96,14.68	1.715,1.567,2.77,3.064,2.456
0546-445	12.09,16.88,11.98,11.24,8.88	2.21,1.733,3.467,2.028,1.295
0547-408	21.83,13.49,19.52,12.6,14.94	2.999,2.307,2.528,1.298,3.353
0647-475	2.61,1.46,3.36,2.72,4.45	3.885,1.944,1.723,1.705,2.218
0700-473	15.53,11.59,12.36,9.24,11.17	2.099,2.996,2.305,2.389,2.587
0704-427	12.78,13.43,12.73,11.64,7.99	2.49,3.013,1.142,2.648,1.55
0748-440	19.35,17.87,15.96,15.24,13.42	4.431,4.226,3.987,3.071,1.776
0748-454	9.35,4.59,7.52,7.58,7.24	4.022,2.233,1.853,2.521,2.949
0809-492	13.14,11.78,11.63,12.36,14.04	3.478,3.682,2.471,3.355,2.462
0819-474	7.42,9.87,8.68,6.67,9.7	1.984,2.869,3.394,2.038,2.912
1017-421	5.13,8.04,4.46,4.5,4.96	4.592,5.892,7.125,7.734,7.284
1017-426	20.01,17.32,15.25,15.96,13.87	5.531,5.36,5.137,7.6,9.381
1046-409	11.42,8.37,10.86,3.8,11.79	10.229,9.044,16.061,7.427,10.186
1116-462	10.06,23.65,27.46,5.98,18.84	10.242,27.29,20.929,12.994,22.382
1143-483	37.71,26.9,19.77,37.43,19.64	16.599,17.933,13.576,10.024,13.11
1215-457	19.14,29.05,41.2,13.88,30.21	14.68,6.556,9.873,11.771,21.512
1221-423	15.78,28.78,21.58,33.73,28.7	16.669,22.485,36.943,12.038,22.654
1232-416	9.68,19.76,10.37,17.01,22.29	8.043,15.47,10.73,10.899,15.941
1243-412	37.72,-13.7,85.2,51.2,15.07	34.427,16.126,38.595,35.516,8.452
1246-410	3.78,40.61,58.87,35.36,80.64	15.616,21.029,17.706,16.608,10.176
1247-401	23.96,24.44,-28.57,17.63,64.89	7.603,18.285,16.115,16.26,20.418
1302-491	21.43,32.29,34.94,34.54,48.51	6.249,11.714,9.132,13.027,18.828
1315-460	-4.7,-18.59,-28.05,-16.99,-6.54	3.777,4.753,2.77,5.116,3.206
1320-446	88.02,81.74,71.82,68.61,56.51	3.491,3.207,4.816,4.093,4.667
1355-416	33.19,47.15,54.71,54.98,41.55	2.929,9.314,5.9,2.536,11.242
1358-493	12.1,25.12,12.16,24.07,15.05	13.431,4.932,3.328,14.569,6.997
1407-425	10.4,42.84,14.17,19.17,23.76	11.306,10.825,9.686,4.257,6.256
1416-493	25.69,19.49,23.38,19.91,27.52	4.52,2.926,8.355,4.988,11.28
1421-490	22.29,14.68,26.32,16.29,23.09	7.161,7.088,9.645,4.907,11.043
1424-418	10.0,22.04,10.01,19.93,18.05	3.361,7.327,8.219,5.884,8.944
1445-468	16.81,20.43,19.86,15.36,18.36	6.492,7.578,6.274,5.882,4.211
1459-417	34.96,27.52,24.47,22.87,21.69	9.079,6.46,6.829,6.842,9.051
1526-423	61.86,58.32,59.96,55.85,57.36	5.118,8.4,6.746,7.414,3.821
1552-433	12.57,6.63,10.46,12.59,8.04	4.481,4.867,2.43,5.742,3.225
1556-466	21.4,18.81,21.64,23.45,21.77	6.119,3.721,4.897,6.285,3.862
1616-457	8.21,11.86,10.42,14.23,12.79	4.652,3.797,3.675,4.253,3.57
1618-430	21.61,19.97,21.05,19.51,17.55	2.776,5.191,3.098,2.799,4.405
1633-409	4.9,7.68,13.47,10.93,14.65	7.713,4.321,4.751,7.335,4.876
1839-487	20.2,19.72,19.29,19.82,18.81	2.406,2.782,3.447,4.017,2.056
1840-404	18.24,20.07,17.33,19.92,22.91	4.571,3.013,1.751,2.247,3.079
1932-464	86.7,84.62,84.03,85.53,87.64	4.833,3.677,2.859,2.238,2.604
1940-406	17.4,14.67,14.78,15.13,14.58	2.762,4.175,3.181,2.343,2.602
1953-425	18.07,17.58,18.25,18.01,19.03	4.232,3.336,4.472,3.345,2.428
2140-434	22.07,19.58,19.8,18.81,18.23	2.389,1.701,1.246,2.251,2.375
2213-456	4.46,5.7,5.95,4.61,6.58	0.873,1.511,1.576,1.812,1.759
2226-411	14.1,12.73,12.78,13.12,11.91	2.179,1.751,2.171,1.881,2.053
2250-412	33.57,32.3,31.47,28.85,27.92	1.309,1.785,1.407,1.543,1.125
2323-407	18.84,17.04,15.97,15.24,15.2	1.433,1.188,1.372,0.925,1.248
2331-416	39.3,36.79,34.65,33.16,31.58	1.631,1.657,1.06,0.977,0.687
cen	2010.62,2039.84,2119.95,2073.95,2041.66	25.733,35.515,40.824,21.207,33.237
pic	459.89,417.18,397.74,375.68,360.23	15.294,14.785,8.896,6.36,5.43
vela	87.05,65.08,50.56,37.9,30.6	8.914,7.261,6.161,2.709,2.843
