0003-428,1.67,-42.5,11.61,0.54,-0.81,0.03,10.32,0.76,-0.73,0.05
0007-446,2.79,-44.31,18.74,0.69,-1.0,0.03,16.98,1.26,-0.93,0.05
0039-445,10.69,-44.16,26.77,1.08,-0.92,0.11,22.71,5.1,-0.79,0.19
0043-424,11.72,-42.05,43.6,1.46,-0.79,0.11,36.16,4.97,-0.69,0.13
0048-447,12.86,-44.41,13.21,0.64,-0.98,0.04,11.58,0.88,-0.89,0.05
0049-433,13.21,-43.03,20.16,0.77,-0.97,0.03,20.54,1.53,-0.98,0.05
0103-453,16.48,-45.02,28.9,1.14,-1.16,0.11,21.76,2.93,-1.04,0.12
0201-440,31.05,-43.77,13.72,0.9,-0.71,0.12,10.31,6.54,-0.51,0.42
0438-436,70.17,-43.53,8.08,0.74,-0.19,0.09,8.32,1.09,-0.21,0.1
0511-484,78.3,-48.39,24.92,1.59,-1.14,0.09,17.3,10.7,-0.93,0.39
0534-497,84.14,-49.74,17.1,1.17,-0.9,0.11,15.27,9.84,-0.83,0.44
0546-445,87.0,-44.52,13.08,0.97,-1.03,0.11,15.0,2.03,-1.1,0.12
0547-408,87.45,-40.86,15.93,1.13,-0.83,0.1,16.99,2.16,-0.86,0.12
0647-475,102.29,-47.6,4.16,1.46,-0.1,0.26,6.76,4.21,-0.43,0.45
0700-473,105.63,-47.47,11.85,1.25,-1.0,0.13,11.4,7.9,-0.97,0.44
0704-427,106.58,-42.84,11.51,0.66,-0.95,0.04,11.52,0.81,-0.95,0.04
0748-440,117.54,-44.25,16.8,1.76,-0.76,0.14,22.61,5.11,-0.96,0.19
0748-454,117.51,-45.65,9.95,1.27,-0.76,0.12,12.23,1.89,-0.86,0.13
0809-492,122.78,-49.45,12.43,1.72,-0.78,0.14,10.41,7.11,-0.67,0.44
0819-474,125.3,-47.65,8.17,1.42,-0.71,0.15,10.73,6.72,-0.9,0.43
1017-421,155.08,-42.49,13.58,1.78,-1.08,0.12,13.87,1.8,-1.09,0.12
1017-426,155.17,-42.93,22.86,2.51,-0.69,0.12,26.3,3.37,-0.77,0.12
1046-409,162.32,-41.31,11.24,1.46,-0.82,0.12,11.3,1.47,-0.82,0.13
1116-462,169.78,-46.65,9.97,1.3,-0.59,0.12,9.82,1.3,-0.58,0.12
1143-483,176.56,-48.68,15.46,2.05,-0.7,0.13,11.65,1.8,-0.56,0.13
1215-457,184.71,-46.09,16.94,1.9,-0.47,0.12,12.93,1.65,-0.33,0.12
1221-423,186.12,-42.67,11.52,2.2,-0.78,0.18,8.6,1.86,-0.57,0.2
1232-416,189.12,-41.97,10.83,1.44,-0.75,0.12,10.57,1.38,-0.74,0.13
1302-491,196.57,-49.54,27.77,4.64,-0.86,0.14,12.52,8.18,-0.36,0.38
1358-493,210.61,-49.61,17.65,3.23,-0.89,0.16,12.04,7.68,-0.62,0.44
1407-425,212.84,-42.85,15.19,1.63,-1.09,0.12,11.35,1.47,-0.94,0.13
1421-490,216.37,-49.29,19.74,3.81,-0.41,0.16,19.63,12.86,-0.41,0.42
1424-418,217.21,-42.17,12.11,1.38,-0.64,0.12,10.97,1.42,-0.6,0.13
1445-468,222.36,-47.08,18.11,3.2,-0.96,0.16,18.71,12.9,-0.99,0.44
1526-423,232.8,-42.57,54.98,3.25,-1.08,0.1,48.0,6.29,-1.04,0.12
1552-433,239.19,-43.51,10.22,2.03,-0.74,0.17,10.41,6.28,-0.76,0.44
1556-466,240.33,-46.85,20.76,2.62,-0.48,0.14,20.57,13.0,-0.48,0.44
1616-457,245.21,-45.88,11.52,1.25,-0.95,0.12,11.31,1.5,-0.95,0.13
1618-430,245.76,-43.17,19.09,1.83,-1.15,0.12,24.66,15.96,-1.34,0.44
1633-409,249.47,-41.06,11.81,2.98,-0.82,0.21,8.44,5.79,-0.6,0.44
1839-487,281.07,-48.59,18.67,1.38,-0.72,0.1,18.06,2.9,-0.71,0.14
1840-404,281.36,-40.35,18.9,1.3,-0.87,0.09,18.29,2.46,-0.86,0.1
1932-464,294.23,-46.31,101.6,1.47,-0.9,0.01,106.45,1.73,-0.93,0.01
1940-406,296.2,-40.47,14.06,1.2,-1.07,0.12,13.0,1.66,-1.04,0.12
1953-425,299.55,-42.33,18.68,1.52,-0.7,0.11,19.54,2.64,-0.73,0.12
2140-434,326.1,-43.15,19.27,1.03,-0.75,0.06,20.01,2.04,-0.78,0.1
2213-456,334.43,-45.29,5.26,0.61,-0.32,0.14,5.49,1.2,-0.36,0.19
2226-411,337.52,-40.79,12.55,0.94,-0.57,0.07,12.49,1.57,-0.56,0.09
2250-412,343.45,-40.89,29.77,0.97,-0.81,0.02,29.88,1.8,-0.81,0.04
2323-407,351.82,-40.38,16.02,0.95,-0.63,0.11,20.18,14.17,-0.78,0.42
2331-416,353.78,-41.35,35.14,0.91,-0.82,0.01,38.12,1.81,-0.86,0.03
Pictor A,80.09,-45.79,388.92,9.35,-0.77,0.02,392.08,21.36,-0.77,0.04
