0003-428,1.67,-42.5,12.54,1.12,-0.88,0.05,12.75,2.24,-0.89,0.08
0007-446,2.79,-44.31,19.56,1.54,-1.11,0.05,20.28,3.56,-1.12,0.08
0039-445,10.69,-44.16,26.36,1.95,-0.89,0.05,23.37,4.15,-0.84,0.09
0043-424,11.72,-42.06,42.07,2.8,-0.76,0.05,36.47,4.75,-0.71,0.06
0048-447,12.86,-44.41,14.35,1.37,-1.06,0.06,14.0,2.5,-1.05,0.08
0049-433,13.21,-43.04,20.08,1.58,-0.89,0.05,19.1,3.35,-0.87,0.08
0103-453,16.48,-45.02,27.03,1.86,-1.09,0.05,21.57,2.76,-1.01,0.07
0201-440,31.05,-43.77,13.78,1.37,-0.72,0.08,12.77,4.18,-0.69,0.16
0438-436,70.17,-43.53,8.24,0.85,-0.21,0.05,8.49,1.05,-0.22,0.06
0511-484,78.3,-48.39,23.87,2.27,-0.97,0.05,13.49,3.64,-0.75,0.11
0534-497,84.14,-49.74,17.47,1.97,-0.97,0.06,18.81,5.22,-1.0,0.12
0546-445,87.01,-44.52,13.39,1.28,-1.01,0.06,14.8,1.89,-1.05,0.06
0547-408,87.46,-40.86,16.29,1.48,-0.86,0.05,17.02,2.14,-0.88,0.06
0647-475,102.3,-47.6,7.9,1.94,-0.67,0.11,10.68,3.05,-0.78,0.12
0700-473,105.64,-47.47,12.08,1.76,-1.05,0.07,13.29,3.88,-1.08,0.12
0704-427,106.58,-42.84,11.35,1.07,-0.96,0.05,11.43,1.42,-0.96,0.06
0748-440,117.54,-44.25,18.74,2.25,-0.94,0.06,23.69,4.22,-1.02,0.08
0748-454,117.52,-45.65,10.57,1.39,-0.81,0.06,12.29,1.84,-0.87,0.06
0809-492,122.78,-49.45,12.35,1.94,-0.78,0.09,11.98,3.51,-0.77,0.12
0819-474,125.3,-47.65,9.52,1.7,-0.91,0.1,12.44,3.58,-1.01,0.12
1017-421,155.09,-42.49,13.47,1.76,-1.01,0.07,13.67,1.8,-1.02,0.07
1017-426,155.17,-42.93,24.4,2.73,-0.81,0.06,26.79,3.44,-0.84,0.06
1046-409,162.32,-41.31,10.99,1.4,-0.73,0.06,11.04,1.41,-0.73,0.06
1116-462,169.78,-46.65,9.66,1.22,-0.53,0.06,9.56,1.2,-0.53,0.06
1143-483,176.56,-48.68,14.27,1.99,-0.69,0.06,11.86,1.78,-0.63,0.07
1215-457,184.71,-46.09,15.64,1.79,-0.53,0.06,13.47,1.77,-0.47,0.07
1221-423,186.12,-42.67,10.05,1.69,-0.64,0.08,8.72,1.59,-0.59,0.08
1232-416,189.12,-41.96,10.97,1.42,-0.85,0.05,10.88,1.42,-0.85,0.06
1246-410,192.4,-41.39,32.86,3.76,-0.93,0.06,25.28,3.23,-0.84,0.06
1302-491,196.57,-49.54,21.71,4.01,-0.59,0.09,13.85,3.68,-0.42,0.12
1320-446,200.98,-44.95,59.58,5.69,-1.24,0.05,15.53,4.05,-0.76,0.1
1355-416,209.96,-41.95,33.83,2.88,-0.96,0.05,24.02,3.0,-0.83,0.06
1358-493,210.61,-49.61,17.03,3.24,-0.87,0.09,15.95,4.6,-0.84,0.12
1407-425,212.84,-42.84,13.9,1.59,-1.11,0.05,11.68,1.52,-1.05,0.07
1416-493,215.25,-49.66,13.75,1.61,-0.77,0.05,10.26,1.58,-0.67,0.06
1421-490,216.37,-49.29,18.8,3.74,-0.35,0.08,17.85,4.97,-0.33,0.12
1424-418,217.21,-42.16,11.39,1.37,-0.49,0.06,10.56,1.33,-0.47,0.06
1445-468,222.35,-47.08,18.58,3.38,-0.99,0.08,19.24,5.46,-1.01,0.12
1459-417,225.92,-42.0,24.01,6.2,-1.71,2.38,-1.0,0.0,-99.0,0.0
1526-423,232.79,-42.57,53.09,4.44,-1.07,0.06,48.09,6.23,-1.04,0.07
1552-433,239.19,-43.51,10.59,2.12,-0.79,0.09,11.24,3.22,-0.81,0.12
1556-466,240.33,-46.85,22.0,3.23,-0.58,0.08,25.32,7.24,-0.63,0.12
1616-457,245.21,-45.88,11.73,1.36,-1.08,0.06,11.69,1.45,-1.08,0.06
1618-430,245.75,-43.17,18.67,2.4,-1.08,0.07,16.8,4.93,-1.04,0.12
1633-409,249.47,-41.06,9.22,1.96,-0.58,0.1,7.31,2.16,-0.49,0.12
1839-487,281.07,-48.59,18.69,1.89,-0.76,0.05,18.25,2.88,-0.75,0.07
1840-404,281.35,-40.35,18.91,1.68,-0.89,0.05,18.32,2.28,-0.88,0.06
1932-464,294.23,-46.31,86.98,5.79,-0.89,0.05,93.27,11.96,-0.91,0.06
1940-406,296.2,-40.47,13.87,1.41,-1.13,0.07,13.22,1.68,-1.11,0.08
1953-425,299.54,-42.33,19.42,1.94,-0.84,0.05,20.18,2.54,-0.85,0.06
2140-434,326.09,-43.15,19.18,1.59,-0.86,0.05,19.61,2.49,-0.87,0.06
2213-456,334.43,-45.29,5.96,0.78,-0.58,0.07,6.61,1.18,-0.62,0.08
2226-411,337.52,-40.79,12.93,1.2,-0.65,0.05,13.09,1.64,-0.65,0.06
2250-412,343.45,-40.89,29.73,2.01,-0.87,0.05,29.7,3.85,-0.87,0.06
2323-407,351.82,-40.38,16.49,1.48,-0.74,0.06,21.69,6.11,-0.84,0.12
2331-416,353.78,-41.35,33.78,2.2,-0.86,0.05,33.45,4.03,-0.86,0.06
Centaurus A,201.54,-43.08,1787.63,113.68,-0.84,0.09,1097.09,149.48,-0.63,0.11
Pictor A,80.1,-45.79,389.29,16.91,-0.76,0.03,389.9,21.09,-0.76,0.03
