#FREQS[MHz]=125.0,135.0,145.0,155.0,165.0
0003-428	14.98,13.45,13.02,12.9,10.42	2.034,1.187,1.821,1.56,1.216
0007-446	23.51,21.18,20.24,18.74,17.61	2.479,2.37,1.472,1.546,1.763
0008-421	-0.94,-0.68,0.54,0.52,1.98	1.72,1.716,1.803,1.394,1.782
0039-445	31.95,30.29,28.54,26.0,24.06	2.913,3.005,2.148,1.946,1.363
0043-424	51.9,47.43,45.82,42.74,40.68	4.21,3.534,2.647,2.975,2.603
0048-447	17.86,16.02,15.15,14.51,12.51	2.567,2.277,2.453,1.508,1.601
0049-433	23.53,21.0,21.94,20.2,18.85	2.439,1.538,2.38,1.899,2.057
0103-453	35.5,32.61,30.86,28.21,27.2	3.24,3.547,2.415,2.46,1.524
0201-440	16.22,15.02,13.73,12.78,14.07	4.397,1.728,1.665,1.232,1.654
0438-436	8.44,6.26,8.05,5.74,9.0	2.496,1.922,1.589,2.065,1.725
0511-484	30.06,23.26,30.64,29.34,23.08	2.821,2.142,3.251,4.076,2.498
0518-458B	424.57,376.2,351.08,324.78,305.05	30.14,30.451,21.658,18.276,13.442
0534-497	20.82,17.27,17.61,19.93,14.66	2.391,2.128,3.342,3.711,2.932
0546-445	12.07,16.86,11.96,11.22,8.87	2.602,2.28,3.855,2.392,1.583
0547-408	21.8,13.47,19.49,12.58,14.92	3.707,2.744,3.161,1.706,3.837
0647-475	2.61,1.46,3.36,2.72,4.44	3.97,1.991,1.832,1.793,2.362
0700-473	15.51,11.57,12.34,9.23,11.15	2.602,3.372,2.706,2.689,2.949
0704-427	12.76,13.41,12.71,11.62,7.98	2.904,3.448,1.555,3.025,1.809
0748-440	19.32,17.84,15.94,15.22,13.4	5.058,4.805,4.504,3.565,2.211
0748-454	9.34,4.58,7.51,7.57,7.23	4.325,2.382,2.097,2.767,3.184
0809-492	13.12,11.76,11.61,12.34,14.02	3.904,4.064,2.848,3.756,2.917
0819-474	7.41,9.86,8.67,6.66,9.69	2.225,3.189,3.675,2.254,3.226
1017-421	5.12,8.03,4.45,4.49,4.95	4.758,6.153,7.27,7.88,7.445
1017-426	19.98,17.3,15.23,15.94,13.85	6.18,5.922,5.631,8.117,9.831
1046-409	11.4,8.36,10.84,3.79,11.77	10.599,9.315,16.413,7.55,10.568
1116-462	10.05,23.62,27.42,5.97,18.81	10.568,28.057,21.819,13.188,22.993
1143-483	37.66,26.86,19.74,37.38,19.61	17.822,18.805,14.217,11.237,13.747
1215-457	19.11,29.01,41.14,13.86,30.17	15.301,7.498,11.209,12.221,22.491
1221-423	15.76,28.74,21.55,33.68,28.66	17.181,23.418,37.643,13.132,23.584
1232-416	9.67,19.73,10.36,16.99,22.26	8.357,16.111,11.066,11.45,16.664
1243-412	37.67,-13.68,85.08,51.13,15.05	35.65,15.682,41.357,37.176,8.941
1246-410	3.77,40.55,58.79,35.31,80.53	15.739,22.346,19.615,17.754,12.79
1247-401	23.93,24.41,-28.53,17.6,64.8	8.38,19.077,15.189,16.832,22.522
1302-491	21.4,32.24,34.89,34.49,48.44	6.944,12.761,10.265,14.147,20.401
1315-460	-4.69,-18.56,-28.01,-16.97,-6.53	3.625,4.15,1.861,4.565,2.994
1320-446	87.89,81.62,71.72,68.51,56.43	6.345,5.857,7.144,6.317,6.499
1355-416	33.14,47.08,54.63,54.9,41.49	4.005,10.843,7.674,4.318,12.589
1358-493	12.08,25.08,12.14,24.04,15.03	13.823,5.746,3.722,15.349,7.485
1407-425	10.39,42.78,14.15,19.14,23.73	11.643,12.214,10.145,4.878,7.026
1416-493	25.65,19.46,23.35,19.88,27.48	5.353,3.558,9.113,5.633,12.172
1421-490	22.26,14.66,26.28,16.27,23.06	7.884,7.564,10.498,5.435,11.792
1424-418	9.99,22.01,10.0,19.9,18.02	3.685,8.042,8.544,6.53,9.529
1445-468	16.79,20.4,19.83,15.34,18.33	7.037,8.24,6.918,6.38,4.806
