0003-428,1.67,-42.5,14.98,2.0,13.45,1.2,13.02,1.8,12.9,1.6,10.42,1.2
0007-446,2.79,-44.31,23.51,2.5,21.18,2.4,20.24,1.5,18.74,1.5,17.61,1.8
0008-421,2.88,-41.81,-0.94,1.7,-0.68,1.7,0.54,1.8,0.52,1.4,1.98,1.8
0039-445,10.69,-44.16,31.95,2.9,30.29,3.0,28.54,2.1,26.0,1.9,24.06,1.4
0043-424,11.72,-42.05,51.9,4.2,47.43,3.5,45.82,2.6,42.74,3.0,40.68,2.6
0048-447,12.86,-44.41,17.86,2.6,16.02,2.3,15.15,2.5,14.51,1.5,12.51,1.6
0049-433,13.21,-43.03,23.53,2.4,21.0,1.5,21.94,2.4,20.2,1.9,18.85,2.1
0103-453,16.48,-45.02,35.5,3.2,32.61,3.5,30.86,2.4,28.21,2.5,27.2,1.5
0201-440,31.05,-43.77,16.22,4.4,15.02,1.7,13.73,1.7,12.78,1.2,14.07,1.7
0438-436,70.17,-43.53,8.44,2.5,6.26,1.9,8.05,1.6,5.74,2.1,9.0,1.7
0511-484,78.3,-48.39,30.06,2.8,23.26,2.1,30.64,3.3,29.34,4.1,23.08,2.5
0534-497,84.14,-49.74,20.82,2.4,17.27,2.1,17.61,3.3,19.93,3.7,14.66,2.9
0546-445,87.01,-44.52,12.07,2.6,16.86,2.3,11.96,3.9,11.22,2.4,8.87,1.6
0547-408,87.46,-40.86,21.8,3.7,13.47,2.7,19.49,3.2,12.58,1.7,14.92,3.8
0647-475,102.29,-47.6,2.61,4.0,1.46,2.0,3.36,1.8,2.72,1.8,4.44,2.4
0700-473,105.63,-47.47,15.51,2.6,11.57,3.4,12.34,2.7,9.23,2.7,11.15,2.9
0704-427,106.58,-42.84,12.76,2.9,13.41,3.4,12.71,1.6,11.62,3.0,7.98,1.8
0748-440,117.54,-44.25,19.32,5.1,17.84,4.8,15.94,4.5,15.22,3.6,13.4,2.2
0748-454,117.51,-45.65,9.34,4.3,4.58,2.4,7.51,2.1,7.57,2.8,7.23,3.2
0809-492,122.78,-49.45,13.12,3.9,11.76,4.1,11.61,2.8,12.34,3.8,14.02,2.9
0819-474,125.3,-47.65,7.41,2.2,9.86,3.2,8.67,3.7,6.66,2.3,9.69,3.2
1017-421,155.08,-42.49,5.12,4.8,8.03,6.2,4.45,7.3,4.49,7.9,4.95,7.4
1017-426,155.17,-42.93,19.98,6.2,17.3,5.9,15.23,5.6,15.94,8.1,13.85,9.8
1046-409,162.32,-41.31,11.4,10.6,8.36,9.3,10.84,16.4,3.79,7.6,11.77,10.6
1116-462,169.78,-46.65,10.05,10.6,23.62,28.1,27.42,21.8,5.97,13.2,18.81,23.0
1143-483,176.56,-48.68,37.66,17.8,26.86,18.8,19.74,14.2,37.38,11.2,19.61,13.7
1215-457,184.71,-46.09,19.11,15.3,29.01,7.5,41.14,11.2,13.86,12.2,30.17,22.5
1221-423,186.12,-42.67,15.76,17.2,28.74,23.4,21.55,37.6,33.68,13.1,28.66,23.6
1232-416,189.12,-41.97,9.67,8.4,19.73,16.1,10.36,11.1,16.99,11.4,22.26,16.7
1246-410,192.4,-41.39,3.77,15.7,40.55,22.3,58.79,19.6,35.31,17.8,80.53,12.8
1302-491,196.57,-49.54,21.4,6.9,32.24,12.8,34.89,10.3,34.49,14.1,48.44,20.4
1320-446,200.98,-44.95,87.89,6.3,81.62,5.9,71.72,7.1,68.51,6.3,56.43,6.5
1355-416,209.97,-41.95,33.14,4.0,47.08,10.8,54.63,7.7,54.9,4.3,41.49,12.6
1358-493,210.61,-49.61,12.08,13.8,25.08,5.7,12.14,3.7,24.04,15.3,15.03,7.5
1407-425,212.84,-42.84,10.39,11.6,42.78,12.2,14.15,10.1,19.14,4.9,23.73,7.0
1416-493,215.25,-49.66,25.65,5.4,19.46,3.6,23.35,9.1,19.88,5.6,27.48,12.2
1421-490,216.37,-49.29,22.26,7.9,14.66,7.6,26.28,10.5,16.27,5.4,23.06,11.8
1424-418,217.21,-42.16,9.99,3.7,22.01,8.0,10.0,8.5,19.9,6.5,18.02,9.5
1445-468,222.36,-47.08,16.79,7.0,20.4,8.2,19.83,6.9,15.34,6.4,18.33,4.8
1459-417,225.92,-42.0,34.91,10.2,27.48,7.4,24.44,7.6,22.84,7.6,21.66,9.8
1526-423,232.79,-42.57,61.77,7.1,58.24,10.3,59.87,8.7,55.77,9.2,57.28,5.7
1552-433,239.19,-43.51,12.55,4.9,6.62,5.1,10.45,2.8,12.57,6.2,8.03,3.5
1556-466,240.33,-46.85,21.37,6.8,18.78,4.3,21.61,5.6,23.42,7.0,21.74,4.6
1616-457,245.21,-45.88,8.2,4.9,11.84,4.2,10.41,4.0,14.21,4.7,12.77,4.0
1618-430,245.76,-43.17,21.58,3.5,19.94,5.8,21.02,3.8,19.48,3.4,17.52,5.0
1633-409,249.47,-41.06,4.89,7.9,7.67,4.6,13.45,5.2,10.91,7.7,14.63,5.4
1839-487,281.07,-48.59,20.17,3.1,19.69,3.4,19.26,4.1,19.79,4.7,18.78,2.7
1840-404,281.36,-40.35,18.21,5.2,20.04,3.7,17.31,2.3,19.89,2.9,22.88,3.8
1932-464,294.23,-46.31,86.58,7.6,84.5,6.4,83.91,5.6,85.41,5.0,87.52,5.4
1940-406,296.2,-40.47,17.38,3.3,14.65,4.7,14.76,3.7,15.11,2.8,14.56,3.1
1953-425,299.54,-42.33,18.04,4.8,17.55,3.9,18.22,5.1,17.98,3.9,19.0,3.0
2140-434,326.1,-43.15,22.04,3.1,19.55,2.3,19.77,1.9,18.78,2.9,18.2,3.0
2213-456,334.43,-45.29,4.45,1.0,5.69,1.7,5.94,1.8,4.6,2.0,6.57,2.0
2226-411,337.52,-40.79,14.08,2.6,12.71,2.2,12.76,2.6,13.1,2.3,11.89,2.4
2250-412,343.45,-40.89,33.52,2.4,32.25,2.8,31.43,2.4,28.81,2.5,27.88,2.0
2323-407,351.82,-40.38,18.81,2.0,17.02,1.7,15.95,1.9,15.22,1.4,15.18,1.7
2331-416,353.78,-41.35,39.24,2.9,36.74,2.8,34.6,2.2,33.11,2.1,31.54,1.7
Centaurus A,201.54,-43.08,2007.76,90.9,2036.93,101.6,2116.93,109.6,2071.0,88.4,2038.75,99.4
Pictor A,80.1,-45.79,459.23,30.2,416.59,28.3,397.17,21.8,375.14,18.5,359.72,17.1
